AirlineID,IataCode,IcaoCode,Name,Active
2,,GNL,135 Airways,0
3,1T,RNX,1Time Airline,1
4,,WYT,2 Sqn No 1 Elementary Flying Training School,0
5,,TFU,213 Flight Unit,0
6,,CHD,223 Flight Unit State Airline,0
7,,TTF,224th Flight Unit,0
8,,TWF,247 Jet Ltd,0
9,,SEC,3D Aviation,0
10,Q5,MLA,40-Mile Air,1
11,,QRT,4D Air,0
12,,THD,611897 Alberta Limited,0
13,AN,AAA,Ansett Australia,1
14,1B,,Abacus International,1
15,W9,AAB,Abelag Aviation,0
16,,AAC,Army Air Corps,0
17,,AAD,Aero Aviation Centre Ltd.,0
18,,SII,Aero Servicios Ejecutivos Internacionales,0
19,,BZS,Aero Biniza,0
20,,ABM,Aero Albatros,0
21,ZI,AAF,Aigle Azur,1
22,AQ,AAH,Aloha Airlines,1
23,,AAK,Alaska Island Air,0
24,AA,AAL,American Airlines,1
25,,AAM,Aviation Management Corporation,0
26,,AAO,Atlantis Airlines (USA),0
27,,AAP,Aerovista Airlines,0
28,OZ,AAR,Asiana Airlines,1
29,4K,AAS,Askari Aviation,1
30,,AAU,Australia Asia Airlines,0
31,,AAV,Astro Air International,0
32,8U,AAW,Afriqiyah Airways,1
33,Q9,AFU,Afrinat International Airlines,0
34,,AAX,Afric'air Express,0
35,G4,AAY,Allegiant Air,1
36,,AAZ,Angus Aviation,0
37,,ABA,Artem-Avia,0
38,,ABB,African Business and Transportations,0
39,K5,ABE,Aban Air,0
40,,ABF,Aerial Oy,0
41,,ABG,Abakan-Avia,0
42,M3,TUS,ABSA - Aerolinhas Brasileiras,1
43,,ABJ,Abaet,0
44,,ABK,Alberta Citylink,0
45,,ABO,APSA Colombia,0
46,,ABU,Aerovias Bueno,0
47,,ACR,Aerocenter,0
49,GB,ABX,Airborne Express,0
50,GB,ABX,ABX Air,0
51,,ABZ,ATA Brasil,0
52,,ACC,Avcard Services,0
53,,ACD,Academy Airlines,0
54,,ACO,Aero Comondu,0
55,8V,ACP,Astral Aviation,1
56,,ACS,Air Cess,0
57,,AAI,Air Aurora,0
58,,ACU,Air Cargo Transportation System,0
59,,ACV,Air Charter Service,0
60,E4,RSO,Aero Asia International,0
61,,ACX,Air Charters,0
62,YT,TGA,Air Togo,0
63,,RSM,Air Somalia,0
64,,ACY,Atlas Cargo Lines,0
65,,ADA,Airservices Australia,0
66,4G,,Advance Leasing Company,0
67,7A,,Aztec Worldwide Airlines,0
68,8T,,Air Tindi,1
69,,ADB,Antonov Airlines,0
70,,ADC,Air Atlantic Dominicana,0
71,,ADD,Advanced Air Co.,0
72,ZY,ADE,Ada Air,1
73,,ADG,Aerea Flying Training Organization,0
74,,ADI,Audeli Air,0
75,,ADJ,Abicar,0
76,Z7,ADK,ADC Airlines,0
77,,ADL,Aero Dynamics,0
78,,ADM,Aerolineas Dominicanas,0
79,,ADN,Aerodienst GmbH,0
80,,ADP,Aerodiplomatic,0
81,,ADY,Aerodyne,0
82,,ADQ,Avion Taxi,0
83,JP,ADR,Adria Airways,1
84,,ADS,Aviones de Sonora,0
85,,ADT,Air Dorval,0
86,,ADU,Airdeal Oy,0
87,,ADV,Advance Air Charters,0
88,,ADW,Air Andaman,0
89,,ADX,Anderson Aviation,0
90,UX,AEA,Air Europa,1
91,,ASW,Air Southwest Ltd.,0
92,,ASX,Air Special,0
93,EM,AEB,Aero Benin,1
94,,AEC,Aerocesar,0
95,,AED,Aerotrans Airlines,0
96,A3,AEE,Aegean Airlines,1
97,,AEG,Aerofumigaciones Sam,0
98,,AEI,Aeroexpreso Interamericano,0
99,,AEJ,Air Express,0
100,,AEK,Aerocon,0
101,,AEM,Aero Madrid,0
102,,AEN,Aeroenlaces Nacionales,0
103,,AEO,Aeroservicios Ejecutivos Del Occidente,0
104,,AEP,Aerotec,0
105,KI,AAG,Air Atlantique,0
106,PE,AEL,Air Europe,1
107,,AAJ,Air Alma,0
108,,AEQ,Air Express,0
109,KO,AER,Alaska Central Express,1
110,,AES,ACES Colombia,1
111,,AET,Aeronautical Radio of Thailand,0
112,5W,AEU,Astraeus,1
