AirportID,IataCode,IcaoCode,Name,City,Country,Timezone,Dst
1,GKA,AYGA,Goroka Airport,Goroka,Papua New Guinea,10,U
2,MAG,AYMD,Madang Airport,Madang,Papua New Guinea,10,U
3,HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,10,U
4,LAE,AYNZ,Nadzab Airport,Nadzab,Papua New Guinea,10,U
5,POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,10,U
6,WWK,AYWK,Wewak International Airport,Wewak,Papua New Guinea,10,U
7,UAK,BGBW,Narsarsuaq Airport,Narssarssuaq,Greenland,-3,E
8,GOH,BGGH,Godthaab / Nuuk Airport,Godthaab,Greenland,-3,E
9,SFJ,BGSF,Kangerlussuaq Airport,Sondrestrom,Greenland,-3,E
10,THU,BGTL,Thule Air Base,Thule,Greenland,-4,E
11,AEY,BIAR,Akureyri Airport,Akureyri,Iceland,0,N
12,EGS,BIEG,Egilsstaðir Airport,Egilsstadir,Iceland,0,N
13,HFN,BIHN,Hornafjörður Airport,Hofn,Iceland,0,N
14,HZK,BIHU,Húsavík Airport,Husavik,Iceland,0,N
15,IFJ,BIIS,Ísafjörður Airport,Isafjordur,Iceland,0,N
16,KEF,BIKF,Keflavik International Airport,Keflavik,Iceland,0,N
17,PFJ,BIPA,Patreksfjörður Airport,Patreksfjordur,Iceland,0,N
18,RKV,BIRK,Reykjavik Airport,Reykjavik,Iceland,0,N
19,SIJ,BISI,Siglufjörður Airport,Siglufjordur,Iceland,0,N
20,VEY,BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,0,N
21,YAM,CYAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,-5,A
24,YAY,CYAY,St. Anthony Airport,St. Anthony,Canada,-3.5,A
25,YAZ,CYAZ,Tofino / Long Beach Airport,Tofino,Canada,-8,A
26,YBB,CYBB,Kugaaruk Airport,Pelly Bay,Canada,-7,A
27,YBC,CYBC,Baie Comeau Airport,Baie Comeau,Canada,-5,A
28,YBG,CYBG,CFB Bagotville,Bagotville,Canada,-5,A
29,YBK,CYBK,Baker Lake Airport,Baker Lake,Canada,-6,A
30,YBL,CYBL,Campbell River Airport,Campbell River,Canada,-8,A
31,YBR,CYBR,Brandon Municipal Airport,Brandon,Canada,-6,A
32,YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,Canada,-7,A
33,YCD,CYCD,Nanaimo Airport,Nanaimo,Canada,-8,A
34,YCG,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,-8,A
35,YCH,CYCH,Miramichi Airport,Chatham,Canada,-4,A
36,YCL,CYCL,Charlo Airport,Charlo,Canada,-4,A
37,YCO,CYCO,Kugluktuk Airport,Coppermine,Canada,-7,A
38,YCT,CYCT,Coronation Airport,Coronation,Canada,-7,A
39,YCW,CYCW,Chilliwack Airport,Chilliwack,Canada,-8,A
40,YCY,CYCY,Clyde River Airport,Clyde River,Canada,-5,A
41,YZS,CYZS,Coral Harbour Airport,Coral Harbour,Canada,-5,A
42,YDA,CYDA,Dawson City Airport,Dawson,Canada,-8,A
43,YDB,CYDB,Burwash Airport,Burwash,Canada,-8,A
45,YDF,CYDF,Deer Lake Airport,Deer Lake,Canada,-3.5,A
46,YDL,CYDL,Dease Lake Airport,Dease Lake,Canada,-8,A
47,YDN,CYDN,Dauphin Barker Airport,Dauphin,Canada,-6,A
48,YDQ,CYDQ,Dawson Creek Airport,Dawson Creek,Canada,-7,A
49,YEG,CYEG,Edmonton International Airport,Edmonton,Canada,-7,A
50,YEK,CYEK,Arviat Airport,Eskimo Point,Canada,-6,A
51,YEN,CYEN,Estevan Airport,Estevan,Canada,-6,N
52,YET,CYET,Edson Airport,Edson,Canada,-7,A
53,YEU,CYEU,Eureka Airport,Eureka,Canada,-6,A
54,YEV,CYEV,Inuvik Mike Zubko Airport,Inuvik,Canada,-7,A
55,YFB,CYFB,Iqaluit Airport,Iqaluit,Canada,-5,A
56,YFC,CYFC,Fredericton Airport,Fredericton,Canada,-4,A
57,YFE,CYFE,Forestville Airport,Forestville,Canada,-5,A
58,YFO,CYFO,Flin Flon Airport,Flin Flon,Canada,-6,A
59,YFR,CYFR,Fort Resolution Airport,Fort Resolution,Canada,-7,A
60,YFS,CYFS,Fort Simpson Airport,Fort Simpson,Canada,-7,A
61,YGK,CYGK,Kingston Norman Rogers Airport,Kingston,Canada,-5,A
62,YGL,CYGL,La Grande Rivière Airport,La Grande Riviere,Canada,-5,A
63,YGP,CYGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,-5,A
64,YGQ,CYGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,-5,A
65,YGR,CYGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,-5,A
66,YHB,CYHB,Hudson Bay Airport,Hudson Bay,Canada,-6,N
67,YHD,CYHD,Dryden Regional Airport,Dryden,Canada,-6,A
68,YHI,CYHI,Ulukhaktok Holman Airport,Holman Island,Canada,-7,A
69,YHK,CYHK,Gjoa Haven Airport,Gjoa Haven,Canada,-7,A
70,YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,Canada,-5,A
71,YHU,CYHU,Montréal / Saint-Hubert Airport,Montreal,Canada,-5,A
72,YHY,CYHY,Hay River / Merlyn Carter Airport,Hay River,Canada,-7,A
73,YHZ,CYHZ,Halifax / Stanfield International Airport,Halifax,Canada,-4,A
74,YIB,CYIB,Atikokan Municipal Airport,Atikokan,Canada,-5,A
75,YIO,CYIO,Pond Inlet Airport,Pond Inlet,Canada,-5,A
